,listing_name,price,depreciation,reg_date,eng_cap,mileage,veh_type,brand,model
5305,Lexus ES250 Luxury Sunroof,95800.0,19300.0,2016-05-13,2494.0,128000.0,Luxury,Lexus,ES250 Luxury Sunroof
5306,MINI Cooper S 1.6A (COE till 10/2029),69800.0,9750.0,2010-05-25,1598.0,104000.0,Sports,MINI,Cooper S 1.6A (COE till 10/2029)
5307,Nissan Qashqai 1.2A DIG-T Premium,50800.0,13730.0,2015-11-20,1197.0,86856.0,SUV,Nissan,Qashqai 1.2A DIG-T Premium
5308,Honda Jazz 1.5A L (COE till 03/2024),16800.0,11250.0,2009-03-03,1497.0,151374.0,Hatchback,Honda,Jazz 1.5A L (COE till 03/2024)
5309,Kia Carens Diesel 1.7A,73800.0,13330.0,2017-08-24,1685.0,80000.0,MPV,Kia,Carens Diesel 1.7A
5310,BMW X3 xDrive20i xLine,246800.0,23760.0,2021-11-10,1998.0,6000.0,SUV,BMW,X3 xDrive20i xLine
5311,Toyota Fortuner 2.7A,69800.0,20640.0,2015-04-01,2694.0,66000.0,SUV,Toyota,Fortuner 2.7A
5312,Honda Fit 1.3A GF,87800.0,10520.0,2020-09-29,1317.0,44270.0,Hatchback,Honda,Fit 1.3A GF
5313,Audi Q3 Sportback 1.4A TFSI S-tronic,173800.0,18760.0,2021-01-12,1395.0,28000.0,SUV,Audi,Q3 Sportback 1.4A TFSI S-tronic
5314,Mazda 3 1.5A Sunroof,58800.0,12210.0,2017-01-05,1496.0,96000.0,Sedan,Mazda,3 1.5A Sunroof
5315,Hyundai Avante 1.6A GLS,84800.0,11410.0,2019-07-19,1591.0,34000.0,Sedan,Hyundai,Avante 1.6A GLS
5316,Suzuki Swift Sport 1.6M (COE till 02/2032),86800.0,9140.0,2013-12-23,1586.0,68000.0,Hatchback,Suzuki,Swift Sport 1.6M (COE till 02/2032)
5317,Porsche Boxster 2.7A PDK,175588.0,87110.0,2014-02-10,2706.0,75000.0,Sports,Porsche,Boxster 2.7A PDK
5318,Audi A4 Avant 2.0A TFSI Quattro S-tronic (New 10-yr COE),158800.0,15870.0,2013-01-11,1984.0,128000.0,Stationwagon,Audi,A4 Avant 2.0A TFSI Quattro S-tronic (New 10-yr COE)
5319,Citroen C4 Picasso Diesel 1.6A BlueHDi,46800.0,10340.0,2016-09-29,1560.0,87358.0,MPV,Citroen,C4 Picasso Diesel 1.6A BlueHDi
5320,Toyota Dyna 150 3.0M,33800.0,15720.0,2014-10-29,2982.0,,Truck,Toyota,Dyna 150 3.0M
5321,Suzuki Every Turbo,62800.0,6740.0,2021-12-29,658.0,15000.0,Van,Suzuki,Every Turbo
5322,Nissan Almera 1.5A,49800.0,11490.0,2016-05-13,1498.0,42869.0,Sedan,Nissan,Almera 1.5A
5323,Toyota Camry 2.5A,86800.0,14850.0,2017-05-25,2494.0,78211.0,Luxury,Toyota,Camry 2.5A
5324,Nissan NV200 1.5M,27800.0,10290.0,2015-05-18,1461.0,111100.0,Van,Nissan,NV200 1.5M
5325,Toyota RegiusAce 3.0A Super GL Dark Prime,73800.0,14630.0,2017-09-20,2982.0,,Van,Toyota,RegiusAce 3.0A Super GL Dark Prime
5326,Toyota Hiace 3.0M,69800.0,10690.0,2019-03-15,2982.0,,Van,Toyota,Hiace 3.0M
5327,Toyota Rush 1.5A X (COE till 04/2024),21800.0,13670.0,2009-04-09,1495.0,79000.0,SUV,Toyota,Rush 1.5A X (COE till 04/2024)
5328,Mazda 6 2.0A Executive,93800.0,13770.0,2018-08-30,1998.0,85000.0,Luxury,Mazda,6 2.0A Executive
5329,Isuzu NPR85,88800.0,12300.0,2019-11-22,2999.0,,Truck,Isuzu,NPR85
5330,BMW 5 Series 530i M-Sport,160800.0,26360.0,2017-06-08,1998.0,78000.0,Luxury,BMW,5 Series 530i M-Sport
5331,Honda City 1.5A SV,86800.0,12030.0,2019-02-27,1497.0,64000.0,Sedan,Honda,City 1.5A SV
5332,Toyota Hiace 2.8A DX,87800.0,11130.0,2020-07-24,2754.0,,Van,Toyota,Hiace 2.8A DX
5333,BMW 7 Series ActiveHybrid 7 Sunroof (COE till 06/2032),183800.0,18700.0,2012-10-12,2979.0,,Luxury,BMW,7 Series ActiveHybrid 7 Sunroof (COE till 06/2032)
5334,Toyota Harrier Turbo 2.0A M,112800.0,16660.0,2018-05-23,1998.0,117000.0,SUV,Toyota,Harrier Turbo 2.0A M
5335,Mazda 5 2.0A Sunroof,42800.0,14140.0,2015-03-31,1998.0,80399.0,MPV,Mazda,5 2.0A Sunroof
5336,Mercedes-Benz E-Class E200 Avantgarde,154800.0,22000.0,2018-03-13,1991.0,77762.0,Luxury,Mercedes-Benz,E-Class E200 Avantgarde
5337,Mitsubishi Fuso Fighter FK62,85800.0,21120.0,2016-09-27,7545.0,76888.0,Truck,Mitsubishi,Fuso Fighter FK62
5338,BMW 3 Series 330i,103800.0,20940.0,2016-06-17,1998.0,65000.0,Luxury,BMW,3 Series 330i
5339,Mercedes-Benz C-Class C180 Avantgarde,92800.0,19730.0,2016-06-14,1595.0,,Luxury,Mercedes-Benz,C-Class C180 Avantgarde
5340,Suzuki Every Turbo,66988.0,6850.0,2022-06-15,658.0,,Van,Suzuki,Every Turbo
5341,Daihatsu Sirion 1.3A (COE till 11/2027),43800.0,8370.0,2007-11-27,1298.0,,Hatchback,Daihatsu,Sirion 1.3A (COE till 11/2027)
5342,Toyota Wish 1.8A,42800.0,14430.0,2014-12-15,1798.0,120000.0,MPV,Toyota,Wish 1.8A
5343,Kia Cerato K3 1.6A,72800.0,11320.0,2018-07-31,1591.0,27733.0,Sedan,Kia,Cerato K3 1.6A
5344,Hyundai Starex 2.5M CRDi,47800.0,9150.0,2017-11-25,2497.0,,Van,Hyundai,Starex 2.5M CRDi
5345,Toyota Vios 1.5A E,75800.0,10580.0,2019-03-06,1496.0,80000.0,Sedan,Toyota,Vios 1.5A E
5346,Toyota Hiace 2.0A DX,74800.0,7690.0,2022-05-26,1998.0,,Van,Toyota,Hiace 2.0A DX
5347,Honda N-Van Turbo Style Fun Honda Sensing,70800.0,7280.0,2022-05-23,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5348,Peugeot Partner 1.5A BlueHDi LWB,69800.0,9330.0,2020-02-26,1499.0,,Van,Peugeot,Partner 1.5A BlueHDi LWB
5349,Toyota Hiace 2.8A DX,75800.0,11680.0,2019-02-28,2754.0,,Van,Toyota,Hiace 2.8A DX
5350,Toyota Hiace 3.0M,67800.0,10710.0,2019-01-02,2982.0,,Van,Toyota,Hiace 3.0M
5351,Honda N-Van Turbo Style Fun Honda Sensing,67800.0,7030.0,2022-04-27,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5352,Toyota RegiusAce 2.8A,79800.0,11690.0,2019-07-02,2754.0,,Van,Toyota,RegiusAce 2.8A
5353,Mitsubishi Fuso Canter FEA01,66800.0,10850.0,2018-10-31,2998.0,,Truck,Mitsubishi,Fuso Canter FEA01
5354,BMW 3 Series 316i (New 10-yr COE),103800.0,10370.0,2013-05-17,1598.0,103000.0,Luxury,BMW,3 Series 316i (New 10-yr COE)
5355,Lexus NX Turbo NX300 Executive,165800.0,20430.0,2019-07-31,1998.0,49916.0,SUV,Lexus,NX Turbo NX300 Executive
5356,Mitsubishi Attrage 1.2A Sports (OPC),73800.0,8530.0,2021-01-11,1193.0,11546.0,Sedan,Mitsubishi,Attrage 1.2A Sports (OPC)
5357,Peugeot Partner 1.6A HDi LWB,28800.0,8990.0,2015-11-17,1560.0,,Van,Peugeot,Partner 1.6A HDi LWB
5358,BMW 3 Series 320i Sport,45600.0,23470.0,2013-08-31,1997.0,113840.0,Luxury,BMW,3 Series 320i Sport
5359,Mercedes-Benz Vito 114 CDI,74800.0,12070.0,2018-11-14,2143.0,,Van,Mercedes-Benz,Vito 114 CDI
5360,Audi A5 Coupe 2.0A TFSI Quattro (COE till 12/2029),85800.0,11780.0,2009-12-16,1984.0,,Sports,Audi,A5 Coupe 2.0A TFSI Quattro (COE till 12/2029)
5361,Isuzu FVR34 (COE till 08/2031),88800.0,9900.0,2011-08-24,7790.0,,Truck,Isuzu,FVR34 (COE till 08/2031)
5362,Isuzu FXZ77M Tipper,56800.0,34440.0,2014-04-29,9839.0,,Truck,Isuzu,FXZ77M Tipper
5363,Isuzu CYZ52R (COE till 07/2027),73800.0,15040.0,2007-11-12,15681.0,,Truck,Isuzu,CYZ52R (COE till 07/2027)
5364,Mercedes-Benz E-Class E200 Avantgarde,190800.0,21300.0,2020-01-08,1991.0,72000.0,Luxury,Mercedes-Benz,E-Class E200 Avantgarde
5365,Toyota Corolla 1.3A (COE till 03/2029),50000.0,7600.0,1999-04-05,1332.0,160000.0,Sedan,Toyota,Corolla 1.3A (COE till 03/2029)
5366,Mercedes-Benz A-Class A45 AMG 4MATIC,135800.0,40110.0,2015-04-02,1991.0,89936.0,Sports,Mercedes-Benz,A-Class A45 AMG 4MATIC
5367,Toyota Hiace 2.8A,85800.0,11320.0,2020-04-03,2754.0,,Bus,Toyota,Hiace 2.8A
5368,Mitsubishi Eclipse Cross 1.5A,104800.0,14390.0,2019-01-14,1499.0,43677.0,SUV,Mitsubishi,Eclipse Cross 1.5A
5369,BYD T3 Electric,116988.0,11770.0,2022-08-12,,,Van,BYD,T3 Electric
5370,Mitsubishi Fuso Canter FEB21,32800.0,19220.0,2014-05-20,2998.0,,Truck,Mitsubishi,Fuso Canter FEB21
5371,Honda Shuttle Hybrid 1.5A,77800.0,14740.0,2017-10-13,1496.0,67000.0,Stationwagon,Honda,Shuttle Hybrid 1.5A
5372,Kia K2500 Single-Cab,19800.0,10430.0,2014-07-29,2497.0,,Truck,Kia,K2500 Single-Cab
5373,Toyota Corolla Hybrid 1.8A Ascent Sport,124800.0,13960.0,2021-03-11,1798.0,26000.0,Sedan,Toyota,Corolla Hybrid 1.8A Ascent Sport
5374,Mercedes-Benz C-Class C200 Avantgarde,113800.0,22320.0,2016-10-19,1991.0,,Luxury,Mercedes-Benz,C-Class C200 Avantgarde
5375,Nissan NV200 1.5M,48800.0,9180.0,2017-12-28,1461.0,120000.0,Van,Nissan,NV200 1.5M
5376,Mazda 3 1.5A Sunroof,70800.0,11610.0,2018-02-27,1496.0,58000.0,Sedan,Mazda,3 1.5A Sunroof
5377,BMW 5 Series 528i,80800.0,22890.0,2015-02-27,1997.0,149197.0,Luxury,BMW,5 Series 528i
5378,Nissan NV350 2.5M,52888.0,8990.0,2018-07-23,2488.0,65888.0,Van,Nissan,NV350 2.5M
5379,Toyota RegiusAce 2.8A,75800.0,11720.0,2019-02-20,2754.0,,Van,Toyota,RegiusAce 2.8A
5380,Mitsubishi Lancer EX 1.5A GLS (COE till 03/2024),16800.0,11090.0,2009-03-11,1499.0,,Sedan,Mitsubishi,Lancer EX 1.5A GLS (COE till 03/2024)
5381,Volkswagen Golf GTI 5DR Sunroof (COE till 02/2032),116800.0,12300.0,2012-03-13,1984.0,,Sports,Volkswagen,Golf GTI 5DR Sunroof (COE till 02/2032)
5382,Honda N-Van Turbo Style Fun Honda Sensing,72388.0,7340.0,2022-07-14,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5383,Toyota Hiace 2.0A DX,80988.0,8210.0,2022-07-13,1998.0,,Van,Toyota,Hiace 2.0A DX
5384,BMW 5 Series 520i Mild Hybrid Executive,236800.0,22410.0,2021-11-10,1998.0,3000.0,Luxury,BMW,5 Series 520i Mild Hybrid Executive
5385,Toyota Harrier Turbo 2.0A M,142800.0,16740.0,2020-02-25,1998.0,50399.0,SUV,Toyota,Harrier Turbo 2.0A M
5386,Honda N-Van Turbo Style Fun Honda Sensing,67888.0,6910.0,2022-06-29,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5387,Honda N-Van Turbo Style Fun Honda Sensing,70800.0,7230.0,2022-06-16,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5388,Toyota Townace 1.5A GL,74388.0,7580.0,2022-06-28,1496.0,,Van,Toyota,Townace 1.5A GL
5389,Hyundai Elantra 1.6A GLS S,73800.0,11880.0,2018-05-22,1591.0,63068.0,Sedan,Hyundai,Elantra 1.6A GLS S
5390,Volvo FMX420 (New 10-yr COE),203800.0,20360.0,2013-01-04,12777.0,,Truck,Volvo,FMX420 (New 10-yr COE)
5391,BMW 5 Series 523i (COE till 05/2030),86800.0,,2010-05-26,2497.0,,Luxury,BMW,5 Series 523i (COE till 05/2030)
5392,Toyota Vios 1.5A E (COE till 01/2024),14300.0,10190.0,2009-01-30,1497.0,170000.0,Sedan,Toyota,Vios 1.5A E (COE till 01/2024)
5393,Porsche Cayenne 3.0A Tip,365800.0,37870.0,2020-06-19,2995.0,37000.0,SUV,Porsche,Cayenne 3.0A Tip
5394,Honda Civic 1.6A VTi,102888.0,12570.0,2020-01-22,1597.0,46000.0,Sedan,Honda,Civic 1.6A VTi
5395,Toyota Hiace 3.0M,69800.0,10270.0,2019-06-20,2982.0,,Van,Toyota,Hiace 3.0M
5396,Nissan NV200 1.5M,46800.0,9390.0,2017-08-30,1461.0,127500.0,Van,Nissan,NV200 1.5M
5397,Hino XZU710R,75800.0,13660.0,2018-03-23,4009.0,,Truck,Hino,XZU710R
5398,Land Rover Discovery Sport Diesel 2.2A SE 5-Seater,109800.0,19980.0,2016-11-25,2179.0,98000.0,SUV,Land,Rover Discovery Sport Diesel 2.2A SE 5-Seater
5399,Land Rover Discovery Sport Diesel 2.2A SE 5-Seater,109800.0,19980.0,2016-11-25,2179.0,98000.0,SUV,Land,Rover Discovery Sport Diesel 2.2A SE 5-Seater
5400,Mazda 3 1.5A Sunroof (OPC) (OPC),51999.0,12140.0,2016-06-30,1496.0,24300.0,Sedan,Mazda,3 1.5A Sunroof (OPC) (OPC)
5401,Toyota Hiace 2.8A DX,71800.0,12030.0,2018-08-23,2754.0,,Van,Toyota,Hiace 2.8A DX
5402,Mercedes-Benz GLB-Class GLB200 AMG Line Premium 7-Seater,206800.0,21340.0,2021-04-20,1332.0,15000.0,SUV,Mercedes-Benz,GLB-Class GLB200 AMG Line Premium 7-Seater
5403,Toyota Hiace 2.0A,77888.0,8040.0,2022-05-10,1998.0,,Van,Toyota,Hiace 2.0A
5404,Mercedes-Benz GLB-Class GLB200 AMG Line Premium 7-Seater,236800.0,22100.0,2022-05-04,1332.0,80.0,SUV,Mercedes-Benz,GLB-Class GLB200 AMG Line Premium 7-Seater
5405,Bentley Continental Flying Spur 6.0A (COE till 10/2029),158888.0,22190.0,2010-03-11,5998.0,103000.0,Luxury,Bentley,Continental Flying Spur 6.0A (COE till 10/2029)
5406,Nissan NV350 2.5A,67800.0,9870.0,2019-07-18,2488.0,,Van,Nissan,NV350 2.5A
5407,Honda Vezel 1.5A X,86800.0,12700.0,2018-12-12,1496.0,35400.0,SUV,Honda,Vezel 1.5A X
5408,Mitsubishi Rosa 4.9M (COE till 04/2029),57800.0,8740.0,2009-04-15,4899.0,,Bus,Mitsubishi,Rosa 4.9M (COE till 04/2029)
5409,Fiat Grande Punto 1.4M Dynamic 3DR (COE till 03/2024),10800.0,6870.0,2009-04-16,1368.0,146000.0,Hatchback,Fiat,Grande Punto 1.4M Dynamic 3DR (COE till 03/2024)
5410,BMW 7 Series 745e Plug-in Hybrid M-Sport,498000.0,,,2998.0,,Luxury,BMW,7 Series 745e Plug-in Hybrid M-Sport
5411,Mitsubishi Outlander 2.0A,102800.0,15440.0,2018-09-10,1998.0,27067.0,SUV,Mitsubishi,Outlander 2.0A
5412,Mercedes-Benz GLE-Class GLE300d AMG Line 4MATIC Premium Plus 7-Seater,388000.0,,,1950.0,6.0,SUV,Mercedes-Benz,GLE-Class GLE300d AMG Line 4MATIC Premium Plus 7-Seater
5413,Volkswagen Transporter T6 2.0M,54800.0,9720.0,2018-04-23,1968.0,,Van,Volkswagen,Transporter T6 2.0M
5414,Toyota Wish 1.8A,83800.0,14360.0,2017-10-25,1798.0,76000.0,MPV,Toyota,Wish 1.8A
5415,Hyundai Avante 1.6A S (COE till 08/2024),21800.0,11020.0,2009-08-27,1591.0,146500.0,Sedan,Hyundai,Avante 1.6A S (COE till 08/2024)
5416,Toyota Dyna 150 3.0M,65800.0,12800.0,2017-10-25,2982.0,86163.0,Truck,Toyota,Dyna 150 3.0M
5417,Nissan NV200 1.6A DX,43800.0,9330.0,2017-05-15,1597.0,80000.0,Van,Nissan,NV200 1.6A DX
5418,Audi A3 Sportback 1.0A TFSI S-tronic,98800.0,14870.0,2018-06-13,999.0,16000.0,Hatchback,Audi,A3 Sportback 1.0A TFSI S-tronic
5419,Mercedes-Benz C-Class C180K (COE till 04/2031),87500.0,10120.0,2011-04-26,1597.0,112000.0,Luxury,Mercedes-Benz,C-Class C180K (COE till 04/2031)
5420,Toyota Dyna 150 3.0M,33800.0,15440.0,2014-11-12,2982.0,,Truck,Toyota,Dyna 150 3.0M
5421,Nissan Note 1.2A DIG-S,49800.0,11510.0,2016-10-14,1198.0,76300.0,Hatchback,Nissan,Note 1.2A DIG-S
5422,Toyota Hiace 3.0M,67800.0,10710.0,2019-01-02,2982.0,,Van,Toyota,Hiace 3.0M
5423,Toyota Hiace 3.0A,67800.0,10220.0,2019-04-23,2982.0,,Van,Toyota,Hiace 3.0A
5424,Suzuki Jimny 1.5A GLX,118800.0,14430.0,2020-03-25,1462.0,26000.0,SUV,Suzuki,Jimny 1.5A GLX
5425,Porsche 911 C4 Cabriolet Tip (COE till 01/2029),188000.0,29310.0,2001-11-17,3596.0,240884.0,Sports,Porsche,911 C4 Cabriolet Tip (COE till 01/2029)
5426,Mercedes-Benz E-Class E200K (COE till 11/2028),59888.0,9600.0,2008-11-28,1796.0,182700.0,Luxury,Mercedes-Benz,E-Class E200K (COE till 11/2028)
5427,Volkswagen Passat Variant 2.0A TSI R-Line,160000.0,18990.0,2019-10-31,1984.0,35000.0,Stationwagon,Volkswagen,Passat Variant 2.0A TSI R-Line
5428,Nissan Sylphy 1.6A Premium,78000.0,11160.0,2018-12-07,1598.0,15500.0,Sedan,Nissan,Sylphy 1.6A Premium
5429,Maserati Levante S 3.0A GranSport,488800.0,47100.0,2021-06-30,2979.0,35000.0,Sedan,Maserati,Levante S 3.0A GranSport
5430,Maserati MC20 3.0A,980000.0,82530.0,2022-06-03,2992.0,1000.0,Sedan,Maserati,MC20 3.0A
5431,Porsche 718 Boxster 2.0A PDK,318000.0,46270.0,2018-05-11,1988.0,34000.0,Sports,Porsche,718 Boxster 2.0A PDK
5432,Jaguar XF 2.0A Prestige,108888.0,18460.0,2016-12-14,1999.0,73000.0,Luxury,Jaguar,XF 2.0A Prestige
5433,Toyota Corolla Axio 1.5A X (COE till 11/2022),2800.0,,2007-11-16,1496.0,,Sedan,Toyota,Corolla Axio 1.5A X (COE till 11/2022)
5434,Mercedes-Benz A-Class A180,62900.0,16840.0,2015-11-05,1595.0,90000.0,Hatchback,Mercedes-Benz,A-Class A180
5435,Ford Mustang 5.0A GT,320800.0,40110.0,2019-08-22,5038.0,13930.0,Sports,Ford,Mustang 5.0A GT
5436,Mitsubishi Fuso Canter FEB21,105800.0,10750.0,2022-07-07,2998.0,,Truck,Mitsubishi,Fuso Canter FEB21
5437,Mercedes-Benz CLA-Class CLA180 AMG Line,182800.0,19410.0,2021-01-28,1332.0,18465.0,Luxury,Mercedes-Benz,CLA-Class CLA180 AMG Line
5438,Nissan Cabstar,33800.0,,2015-07-25,2953.0,113289.0,Truck,Nissan,Cabstar
5439,Nissan NV350 Caravan 2.0A DX,74888.0,7570.0,2022-07-27,1998.0,,Van,Nissan,NV350 Caravan 2.0A DX
5440,BMW 5 Series 523i (COE till 01/2031),94800.0,11270.0,2011-02-16,2497.0,,Luxury,BMW,5 Series 523i (COE till 01/2031)
5441,Skoda Karoq 1.5A TSI Ambition,119800.0,14760.0,2019-12-10,1498.0,26331.0,SUV,Skoda,Karoq 1.5A TSI Ambition
5442,BMW 5 Series 520i,210888.0,22030.0,2020-10-07,1998.0,40000.0,Luxury,BMW,5 Series 520i
5443,Toyota Corolla Axio 1.5A X (COE till 11/2027),44999.0,8630.0,2007-11-22,1496.0,,Sedan,Toyota,Corolla Axio 1.5A X (COE till 11/2027)
5444,Toyota Hiace 3.0A DX,65800.0,12990.0,2017-09-28,2982.0,,Van,Toyota,Hiace 3.0A DX
5445,Peugeot Partner 1.6M HDi LWB (COE till 09/2025),26800.0,8730.0,2010-09-30,1560.0,,Van,Peugeot,Partner 1.6M HDi LWB (COE till 09/2025)
5446,Mazda 3 1.5A Sunroof,63800.0,11960.0,2017-07-26,1496.0,48700.0,Sedan,Mazda,3 1.5A Sunroof
5447,Kia Cerato K3 1.6A EX,38500.0,12740.0,2015-04-28,1591.0,119100.0,Sedan,Kia,Cerato K3 1.6A EX
5448,Nissan NV200 1.5M,45800.0,9520.0,2017-06-27,1461.0,118345.0,Van,Nissan,NV200 1.5M
5449,Toyota Hiace 3.0M,81800.0,10170.0,2020-09-18,2982.0,57196.0,Van,Toyota,Hiace 3.0M
5450,Honda N-Van Turbo Style Fun Honda Sensing,70888.0,7220.0,2022-06-30,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5451,DFSK EC35 Electric,99800.0,10160.0,2022-06-30,,,Van,DFSK,EC35 Electric
5452,Toyota Hiace 2.8A DX,111988.0,11420.0,2022-06-24,2754.0,,Van,Toyota,Hiace 2.8A DX
5453,Opel Insignia Grandsport 1.5A Turbo Innovation,106800.0,13180.0,2019-08-27,1490.0,39000.0,Luxury,Opel,Insignia Grandsport 1.5A Turbo Innovation
5454,Volkswagen Golf 1.4A TSI,75800.0,14130.0,2017-08-30,1395.0,44919.0,Hatchback,Volkswagen,Golf 1.4A TSI
5455,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line,255800.0,23850.0,2022-02-01,1991.0,3914.0,Luxury,Mercedes-Benz,E-Class E200 Mild Hybrid AMG Line
5456,Honda Odyssey 2.4A EX-S,93800.0,17210.0,2017-03-24,2356.0,87000.0,MPV,Honda,Odyssey 2.4A EX-S
5457,MINI One 1.4A (COE till 10/2027),48800.0,9460.0,2007-10-31,1397.0,,Hatchback,MINI,One 1.4A (COE till 10/2027)
5458,Mitsubishi Outlander 2.4A Sunroof,55999.0,14430.0,2015-11-16,2360.0,117000.0,SUV,Mitsubishi,Outlander 2.4A Sunroof
5459,Toyota Townace 1.5A GL,72888.0,7500.0,2022-05-20,1496.0,,Van,Toyota,Townace 1.5A GL
5460,Hino XZU710R,99800.0,10340.0,2022-04-28,4009.0,,Truck,Hino,XZU710R
5461,Toyota Dyna 150 3.0M,52800.0,12970.0,2016-09-30,2982.0,72000.0,Truck,Toyota,Dyna 150 3.0M
5462,Nissan NV350 2.5M,43800.0,9090.0,2017-06-30,2488.0,,Van,Nissan,NV350 2.5M
5463,Toyota Dyna 150 2.8M,99800.0,10510.0,2022-03-02,2755.0,,Truck,Toyota,Dyna 150 2.8M
5464,Hyundai Avante 1.6A S (COE till 10/2028),49800.0,,2008-10-15,1591.0,98700.0,Sedan,Hyundai,Avante 1.6A S (COE till 10/2028)
5465,BMW 5 Series 520i,208888.0,22060.0,2020-08-14,1998.0,31000.0,Luxury,BMW,5 Series 520i
5466,Mercedes-Benz A-Class A180,62800.0,16820.0,2015-11-04,1595.0,102000.0,Hatchback,Mercedes-Benz,A-Class A180
5467,Bentley Continental GT 4.0A V8,236888.0,177670.0,2013-06-28,3993.0,84000.0,Sports,Bentley,Continental GT 4.0A V8
5468,Mercedes-Benz GLC-Class GLC250 4MATIC,115800.0,24850.0,2016-04-05,1991.0,87500.0,SUV,Mercedes-Benz,GLC-Class GLC250 4MATIC
5469,BMW 1 Series 116d,70800.0,14920.0,2017-01-05,1496.0,85000.0,Hatchback,BMW,1 Series 116d
5470,Toyota Corolla Altis 1.6A (COE till 04/2025),30800.0,11640.0,2010-04-28,1598.0,168000.0,Sedan,Toyota,Corolla Altis 1.6A (COE till 04/2025)
5471,Volkswagen Passat 1.8A TSI Highline Sunroof,66800.0,16030.0,2015-09-15,1798.0,115000.0,Luxury,Volkswagen,Passat 1.8A TSI Highline Sunroof
5472,Nissan NV200 1.5M,19800.0,11890.0,2014-05-05,1461.0,62000.0,Van,Nissan,NV200 1.5M
5473,Suzuki Every (COE till 07/2027),33800.0,6890.0,2007-08-22,658.0,193151.0,Van,Suzuki,Every (COE till 07/2027)
5474,Mercedes-Benz C-Class C200 Avantgarde,64400.0,22930.0,2014-09-24,1991.0,133000.0,Luxury,Mercedes-Benz,C-Class C200 Avantgarde
5475,Honda Civic 1.6A VTi,76800.0,13830.0,2017-06-30,1597.0,70000.0,Sedan,Honda,Civic 1.6A VTi
5476,BMW M Series M2 Coupe,218888.0,28890.0,2018-09-18,2979.0,58913.0,Sports,BMW,M Series M2 Coupe
5477,Citroen DS3 Cabrio 1.6A VTI,66888.0,11720.0,2017-11-07,1199.0,68713.0,Sports,Citroen,DS3 Cabrio 1.6A VTI
5478,Honda Jazz 1.5A L Skyroof (COE till 11/2023),13800.0,11370.0,2008-11-22,1497.0,135000.0,Hatchback,Honda,Jazz 1.5A L Skyroof (COE till 11/2023)
5479,Mercedes-Benz CLA-Class CLA180 AMG Line,165800.0,18080.0,2020-08-28,1332.0,37907.0,Luxury,Mercedes-Benz,CLA-Class CLA180 AMG Line
5480,Toyota Corolla Altis 1.6A (COE till 03/2029),57888.0,8880.0,2009-03-12,1598.0,109000.0,Sedan,Toyota,Corolla Altis 1.6A (COE till 03/2029)
5481,Subaru Impreza WRX 2.5M (COE till 12/2025),57500.0,17350.0,2005-12-28,2457.0,168800.0,Sports,Subaru,Impreza WRX 2.5M (COE till 12/2025)
5482,Honda N-Van Turbo Style Fun Honda Sensing,69600.0,7110.0,2022-06-16,658.0,,Van,Honda,N-Van Turbo Style Fun Honda Sensing
5483,Mercedes-Benz C-Class C180 Avantgarde,78800.0,23140.0,2015-05-26,1595.0,68000.0,Luxury,Mercedes-Benz,C-Class C180 Avantgarde
5484,Maserati GranTurismo MC Stradale 4.7A (COE till 04/2031),215800.0,24930.0,2011-05-20,4691.0,77000.0,Sports,Maserati,GranTurismo MC Stradale 4.7A (COE till 04/2031)
5485,Mercedes-Benz CLA-Class CLA45 S AMG 4MATIC+ Premium Plus,348800.0,32360.0,2021-12-31,1991.0,1150.0,Sports,Mercedes-Benz,CLA-Class CLA45 S AMG 4MATIC+ Premium Plus
5486,Audi Q3 Sportback 1.4A TFSI S-tronic,168800.0,18590.0,2020-10-28,1395.0,19000.0,SUV,Audi,Q3 Sportback 1.4A TFSI S-tronic
5487,Toyota Estima 2.4A Aeras (COE till 02/2029),79800.0,12300.0,2009-04-23,2362.0,160124.0,MPV,Toyota,Estima 2.4A Aeras (COE till 02/2029)
5488,Porsche Cayenne Hybrid S 3.0A,70800.0,,2012-10-24,2995.0,127000.0,SUV,Porsche,Cayenne Hybrid S 3.0A
5489,Toyota Vellfire 3.5A Z G-Edition Moonroof,71800.0,22050.0,2014-09-25,3456.0,111256.0,MPV,Toyota,Vellfire 3.5A Z G-Edition Moonroof
5490,Toyota Wish 1.8A (COE till 11/2023),14998.0,12110.0,2009-02-25,1794.0,147902.0,MPV,Toyota,Wish 1.8A (COE till 11/2023)
5491,Honda Vezel 1.5A X Honda Sensing,90998.0,12320.0,2019-06-18,1496.0,29087.0,SUV,Honda,Vezel 1.5A X Honda Sensing
5492,Toyota Corolla Altis 1.6A (COE till 03/2023),8000.0,14040.0,2008-04-08,1598.0,143500.0,Sedan,Toyota,Corolla Altis 1.6A (COE till 03/2023)
5493,Toyota Wish 2.0A (COE till 01/2025),31800.0,13610.0,2010-01-05,1987.0,,MPV,Toyota,Wish 2.0A (COE till 01/2025)
